timestamp,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
2026-04-28 22:13:01.963881,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.966788,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.968157,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.969549,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.970240,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.971050,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.971835,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.972584,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.973331,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.974041,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.974847,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.975316,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.975890,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.976333,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.976722,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.977216,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.977735,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.978906,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.979664,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.980215,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.980917,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.981497,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.981862,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.982294,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.983446,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.983896,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.984267,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.985181,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.986106,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.986688,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.987747,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.988537,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.989618,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.990507,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.991266,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.991785,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.992241,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.993578,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.994289,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.994960,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.995623,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.996827,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.997677,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.998605,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:01.999388,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.000038,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.000966,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.001760,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.002775,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.003640,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.004419,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.005440,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.006123,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.013608,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.014194,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.014753,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.015355,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.016888,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.017683,0.0,0.1,0.0,0.0,0.0,0.5
2026-04-28 22:13:02.018379,0.0,0.1,0.0,0.0,0.0,0.5
